"Num","File","Title","Lines","Code","Road","Conex","Sum","Depth","Gap"
"117","MEMORIA-E-CONTEXTO-PESQUISA.md","Estudo: Gerenciamento de Contexto e MemÃ³ria Persistente para Siste...","805","N","N","N","N","C","NoCode"
"132","THEIA-IDEIA-RESEARCH.md","IDEIA â€” Pesquisa Theia IDE como Plataforma Base","826","Y","N","N","Y","C","-"
"50","ESTUDO-INTENSIFICACAO-IMPLEMENTACAO-REAL.md","Estudo de IntensificaÃ§Ã£o â€” AnÃ¡lise de ImplementaÃ§Ã£o Real vs ...","831","Y","N","N","N","C","-"
"14","ESTUDO-ANALISE-COMPLETA-CONCORRENCIA-PLANO-COMERCIAL.md","ðŸ”¬ Estudo Completo: AnÃ¡lise de ConcorrÃªncia, Gaps TecnolÃ³gicos...","921","N","N","N","Y","C","NoCode"
"3","55-REQUISITOS-IMPLEMENTACAO-ESTUDOS-53-54.md","Estudo 55 â€” Requisitos de ImplementaÃ§Ã£o: Estudos 53 e 54","943","Y","N","N","Y","C","-"
"6","99-Z-REQUISITOS-TODOS-ESTUDOS.md","Requisitos de ImplementaÃ§Ã£o â€” Todos os Estudos (01 a 60)","959","N","N","N","Y","C","NoCode"
"36","ESTUDO-IMPLEMENTACAO-FEATURES-PENDENTES.md","Plano de Implementacao: Features Pendentes","985","Y","N","N","Y","C","-"
"12","ESTUDO-ALEM-DA-FRONTEIRA-CAPACIDADES-ENTERPRISE.md","Beyond the Frontier: Enterprise & Industrial Capabilities for IDEIA","987","N","N","N","Y","C","NoCode"
"87","ESTUDO-S54-PERFORMANCE-OPTIMIZATION.md","ESTUDO S54 -- Performance Optimization Strategy: Taking IDEIA from ...","1270","Y","N","N","Y","C","-"
"21","ESTUDO-CLOUD-INFRAESTRUTURA.md","Estudo: Cloud, Infraestrutura e Deploy para IDEIA","1401","Y","N","N","Y","C","-"
"115","MATRIZ-TECNOLOGICA-COMPLETA-V2-SUPLEMENTO.md","Matriz TecnolÃ³gica Completa â€” v2 Suplemento","1418","Y","N","N","Y","C","-"
"13","ESTUDO-ANALISE-COMPARATIVA-DEVIN-FACTORY-AGENTES.md","ðŸ”¬ Estudo Comparativo e DecomposiÃ§Ã£o de Plataformas AutÃ´nomas ...","1557","Y","N","N","Y","C","-"
"65","ESTUDO-QUALIDADE-TOTAL-IDEIA.md","Estudo de Qualidade Total â€” Projeto IDEIA","1589","Y","N","N","Y","C","-"
"103","ESTUDO-UX-EXPERIENCIA-USUARIO.md","Estudo de UX e ExperiÃªncia do UsuÃ¡rio â€” Projeto IDEIA","1613","Y","N","N","N","C","-"
"28","ESTUDO-DEPLOY-ENTREGA-CONTINUA.md","Estudo: Deploy e Entrega ContÃ­nua para IDEIA","1687","Y","N","N","N","C","-"
"33","ESTUDO-ENGENHARIA-PROMPTS-AGENTES.md","Estudo: Engenharia de Prompts para Sistemas Multiagente","1715","Y","N","N","Y","C","-"
"116","MATRIZ-TECNOLOGICA-COMPLETA.md","Matriz Tecnológica Completa — Projeto IDEIA (ai-devkit → Plataforma...","1716","Y","N","N","Y","C","-"
"89","ESTUDO-S56-UX-TRANSFORMATION.md","ESTUDO S56 â€” UX Transformation & Onboarding Strategy","1728","N","N","N","Y","C","NoCode"
"22","ESTUDO-COLABORACAO-TEMPO-REAL.md","Estudo de ColaboraÃ§Ã£o em Tempo Real â€” Projeto IDEIA","1728","Y","N","N","Y","C","-"
"60","ESTUDO-PERFORMANCE-ESCALABILIDADE.md","Estudo: Performance e Escalabilidade â€” Projeto IDEIA","1732","Y","N","N","Y","C","-"
"58","ESTUDO-OBSERVABILIDADE-FULLSTACK.md","Estudo: Observabilidade Full-Stack para IDEIA","1829","Y","N","N","Y","C","-"
"45","ESTUDO-INTENSIFICACAO-BENCHMARKS-DADOS.md","Estudo de Intensificação: Benchmarks e Dados de Performance","1854","Y","N","N","Y","C","-"
"51","ESTUDO-INTENSIFICACAO-MATRIZ-CROSS-STUDIES.md","Matriz de IntegraÃ§Ã£o Cross-Studies â€” IDEIA v2.0","1857","Y","N","N","Y","C","-"
"32","ESTUDO-EMPILHAMENTO-CONTRATOS-INTEGRACOES.md","Estudo de Empilhamento TecnolÃ³gico, Contratos e IntegraÃ§Ãµes â€” ...","1920","Y","N","N","Y","C","-"
"26","ESTUDO-CONTEXT-PACK-SYSTEM.md","ESTUDO S33 — Context Pack System & Expansion","2051","Y","N","N","Y","C","-"
"30","ESTUDO-DESKTOP-NATIVE.md","Estudo de Desktop Nativo â€” Projeto IDEIA","2070","Y","N","N","Y","C","-"
"106","ESTUDO-ZERO-TO-DEPLOY.md","ESTUDO S28 â€” Zero-to-Deploy Orchestration Architecture","2093","Y","N","N","Y","C","-"
"75","ESTUDO-S42-THEIA-DI-CONTRIBUTIONS.md","ESTUDO S42 â€” Theia Dependency Injection, Contributions & Extensio...","2114","Y","N","N","Y","C","-"
"34","ESTUDO-EXTERNAL-LLM-INTEGRATION.md","ESTUDO S31 â€” External LLM Integration Architecture","2152","Y","N","N","N","C","-"
"31","ESTUDO-EMPILHAMENTO-CONTRATOS-INTEGRACOES-V2-SUPLEMENTO.md","Suplemento V2 â€” Empilhamento, Contratos e IntegraÃ§Ãµes (IDEIA)","2164","Y","N","N","Y","C","-"
"96","ESTUDO-S63-VISUAL-AGENT-DEBUGGER.md","ESTUDO S63 -- Visual Agent Debugger & Inspector","2181","Y","N","N","Y","C","-"
"72","ESTUDO-S39-SETTINGS-KEYBINDINGS-THEME.md","Estudo S39 â€” Settings, Keybindings & Theme System","2248","Y","N","N","Y","C","-"
"100","ESTUDO-TERMINAL-DEBUG.md","Estudo: Terminal, LSP, DAP e IntegraÃ§Ã£o de Debugging para IDEIA","2360","Y","N","N","Y","C","-"
"90","ESTUDO-S57-COMPETITIVE-POSITIONING.md","Estudo S57 â€” Competitive Positioning, SWE-bench Strategy & Market...","2406","Y","N","N","Y","C","-"
"88","ESTUDO-S55-RESILIENCE-SELF-HEALING.md","ESTUDO S55 -- Resilience & Self-Healing Architecture","2479","Y","N","N","Y","C","-"
"16","ESTUDO-API-SDK-ARCHITECTURE.md","ESTUDO S32 -- IDEIA API & SDK Architecture","2502","Y","N","N","Y","C","-"
"62","ESTUDO-PLUGINS-ECOSSISTEMA.md","Estudo de Plugins e Ecossistema â€” IDEIA","2541","Y","N","N","Y","C","-"
"85","ESTUDO-S52-PR-AUTOMATION-PIPELINE.md","ESTUDO S52 â€” PR Automation Pipeline: Competitive Analysis & Imple...","2567","Y","N","N","Y","C","-"
"86","ESTUDO-S53-MCP-ECOSYSTEM-MARKETPLACE.md","ESTUDO S53 -- MCP Ecosystem & Integration Marketplace","2570","Y","N","N","Y","C","-"
"97","ESTUDO-S64-SELF-HEALING-MONITORING.md","ESTUDO S64 -- Self-Healing Code & Production Monitoring","2609","Y","N","N","Y","C","-"
"20","ESTUDO-CAPABILITY-REGISTRY.md","ESTUDO S27 â€” Capability Registry & Discovery Engine","2614","Y","N","N","Y","C","-"
"10","ESTUDO-AI-SAFETY-ALIGNMENT.md","Estudo de AI Safety & Alignment â€” Projeto IDEIA","2649","Y","N","N","Y","C","-"
"74","ESTUDO-S41-REMOTE-WEB-IDE.md","ESTUDO S41 — Remote Development & Browser IDE Architecture","2747","Y","N","N","Y","C","-"
"69","ESTUDO-S36-EXTENSION-HOST.md","Estudo S36: Extension Host & Process Architecture para IDEIA","2813","Y","N","N","Y","C","-"
"78","ESTUDO-S45-THEIA-WORKSPACE-RESOURCES.md","ESTUDO S45 - Theia Workspace, Resources & URI System","2865","Y","N","N","Y","C","-"
"93","ESTUDO-S60-FINETUNING-PIPELINE.md","ESTUDO S60 -- Fine-tuning Pipeline for Code LLMs in IDEIA","2897","Y","N","N","Y","C","-"
"73","ESTUDO-S40-WEBVIEW-LAYOUT.md","ESTUDO S40 — WebView, Notifications & Layout System para Construcao...","2901","Y","N","N","Y","C","-"
"19","ESTUDO-BLUEPRINT-SCAFFOLD.md","ESTUDO S29 â€” Project Blueprint & Scaffold Engine","2916","Y","N","N","Y","C","-"
"94","ESTUDO-S61-VULNERABILITY-MANAGEMENT.md","ESTUDO S61 -- Vulnerability & Dependency Management","2942","Y","N","N","Y","C","-"
"98","ESTUDO-S65-ENTERPRISE-COMPLIANCE.md","ESTUDO S65 -- Enterprise Compliance (SOC2, LGPD, HIPAA)","3070","Y","N","N","Y","C","-"
"79","ESTUDO-S46-THEIA-MARKERS-OUTPUT.md","ESTUDO S46 â€” Theia Marker, Problem & Output Systems","3075","Y","N","N","Y","C","-"
"101","ESTUDO-TESTES-QUALIDADE-AUTOMATIZADA.md","Estudo: Testes e Qualidade Automatizada â€” Projeto IDEIA","3090","Y","N","N","Y","C","-"
"76","ESTUDO-S43-THEIA-VIEWS-WIDGETS.md","ESTUDO S43 â€” Theia View System & Custom Widgets","3105","Y","N","N","Y","C","-"
"70","ESTUDO-S37-SEARCH-SCM-TASK.md","Estudo S37 â€” Search, SCM & Task Systems","3137","Y","N","N","Y","C","-"
"80","ESTUDO-S47-THEIA-AI-AGENTS.md","ESTUDO S47 — Theia AI, Agents & Intelligence Framework","3145","Y","N","N","Y","C","-"
"92","ESTUDO-S59-THEIA-CLOUD-MULTITENANT.md","ESTUDO S59 — Theia Cloud Multi-Tenant Deployment for IDEIA","3172","Y","N","N","Y","C","-"
"67","ESTUDO-S34-THEIA-EDITOR-WIDGET.md","ESTUDO S34 â€” Theia Editor & Widget Architecture","3212","Y","N","N","Y","C","-"
